aggregation,seed,method,operation_group,seeds,cases,base_events,unique_top1_cases,top_tie_cases,unique_top1,mrr,tie_rate,unique_top1_std,mrr_std,tie_rate_std,method_code
per_seed,46,field_aware,customer_receipt,1,136,17,134,0,0.9852941176470589,0.991421568627451,0,,,,M4
pooled_cases,,field_aware,customer_receipt,5,664,83,633,0,0.9533132530120482,0.9761546184738956,0,,,,M4
seed_mean,,field_aware,customer_receipt,5,664,83,633,0,0.9533088235294118,0.9761642156862745,0,0.024087634465366506,0.011615343582721014,0.0,M4
per_seed,42,field_aware,direct_debit,1,136,17,130,0,0.9558823529411765,0.9779411764705882,0,,,,M4
per_seed,43,field_aware,direct_debit,1,136,17,131,0,0.9632352941176471,0.9816176470588235,0,,,,M4
per_seed,44,field_aware,direct_debit,1,136,17,128,0,0.9411764705882353,0.9693627450980392,0,,,,M4
per_seed,45,field_aware,direct_debit,1,128,16,126,0,0.984375,0.9921875,0,,,,M4
per_seed,46,field_aware,direct_debit,1,128,16,119,0,0.9296875,0.96484375,0,,,,M4
pooled_cases,,field_aware,direct_debit,5,664,83,634,0,0.9548192771084337,0.9771586345381527,0,,,,M4
seed_mean,,field_aware,direct_debit,5,664,83,634,0,0.9548713235294117,0.9771905637254902,0,0.020995351118726642,0.010709681806563053,0.0,M4
per_seed,42,field_aware,non_bank_fee,1,672,84,596,5,0.8869047619047619,0.9385416666666667,0.00744047619047619,,,,M4
per_seed,43,field_aware,non_bank_fee,1,664,83,595,7,0.8960843373493976,0.9465863453815261,0.010542168674698794,,,,M4
per_seed,44,field_aware,non_bank_fee,1,664,83,582,9,0.8765060240963856,0.9344126506024096,0.01355421686746988,,,,M4
per_seed,45,field_aware,non_bank_fee,1,664,83,591,10,0.8900602409638554,0.9440261044176707,0.015060240963855422,,,,M4
per_seed,46,field_aware,non_bank_fee,1,664,83,591,10,0.8900602409638554,0.9421937751004016,0.015060240963855422,,,,M4
pooled_cases,,field_aware,non_bank_fee,5,3328,416,2955,41,0.8879206730769231,0.9411458333333333,0.012319711538461538,,,,M4
seed_mean,,field_aware,non_bank_fee,5,3328,416,2955,41,0.8879231210556512,0.941152108433735,0.012331468732071141,0.00719595672469739,0.00477259236799896,0.003298140063952149,M4
per_seed,42,field_aware,supplier_transfer,1,136,17,129,0,0.9485294117647058,0.9742647058823529,0,,,,M4
per_seed,43,field_aware,supplier_transfer,1,128,16,127,0,0.9921875,0.99609375,0,,,,M4
per_seed,44,field_aware,supplier_transfer,1,128,16,127,0,0.9921875,0.99609375,0,,,,M4
per_seed,45,field_aware,supplier_transfer,1,136,17,134,1,0.9852941176470589,0.991421568627451,0.007352941176470588,,,,M4
per_seed,46,field_aware,supplier_transfer,1,136,17,130,0,0.9558823529411765,0.9779411764705882,0,,,,M4
pooled_cases,,field_aware,supplier_transfer,5,664,83,647,1,0.9743975903614458,0.9869477911646586,0.0015060240963855422,,,,M4
seed_mean,,field_aware,supplier_transfer,5,664,83,647,1,0.9748161764705883,0.9871629901960784,0.0014705882352941176,0.020992836193389267,0.010356881990157217,0.0032883352610291023,M4
per_seed,42,field_aware,tax_payment,1,128,16,125,0,0.9765625,0.98828125,0,,,,M4
per_seed,43,field_aware,tax_payment,1,128,16,124,0,0.96875,0.9817708333333334,0,,,,M4
per_seed,44,field_aware,tax_payment,1,136,17,130,0,0.9558823529411765,0.9742647058823529,0,,,,M4
per_seed,45,field_aware,tax_payment,1,136,17,128,0,0.9411764705882353,0.9669117647058824,0,,,,M4
per_seed,46,field_aware,tax_payment,1,136,17,133,0,0.9779411764705882,0.9865196078431373,0,,,,M4
pooled_cases,,field_aware,tax_payment,5,664,83,640,0,0.963855421686747,0.9794176706827309,0,,,,M4
seed_mean,,field_aware,tax_payment,5,664,83,640,0,0.9640625,0.9795496323529412,0,0.015504237041575095,0.008907883942437725,0.0,M4
per_seed,42,field_aware_without_description,ALL,1,800,100,596,109,0.745,0.8868392857142857,0.13625,,,,M4-D
per_seed,43,field_aware_without_description,ALL,1,800,100,590,100,0.7375,0.8773015873015872,0.125,,,,M4-D
per_seed,44,field_aware_without_description,ALL,1,800,100,597,118,0.74625,0.888077380952381,0.1475,,,,M4-D
per_seed,45,field_aware_without_description,ALL,1,800,100,621,121,0.77625,0.9050178571428571,0.15125,,,,M4-D
per_seed,46,field_aware_without_description,ALL,1,800,100,594,119,0.7425,0.8863611111111112,0.14875,,,,M4-D
pooled_cases,,field_aware_without_description,ALL,5,4000,500,2998,567,0.7495,0.8887194444444444,0.14175,,,,M4-D
seed_mean,,field_aware_without_description,ALL,5,4000,500,2998,567,0.7495,0.8887194444444444,0.14175,0.015324612556276897,0.010068697739926668,0.01099005232016663,M4-D
per_seed,42,field_aware_without_description,bank_fee,1,128,16,0,95,0,0.5898809523809524,0.7421875,,,,M4-D
per_seed,43,field_aware_without_description,bank_fee,1,136,17,0,85,0,0.5478524743230625,0.625,,,,M4-D
per_seed,44,field_aware_without_description,bank_fee,1,136,17,0,101,0,0.5840336134453781,0.7426470588235294,,,,M4-D
per_seed,45,field_aware_without_description,bank_fee,1,136,17,0,98,0,0.5846638655462185,0.7205882352941176,,,,M4-D
per_seed,46,field_aware_without_description,bank_fee,1,136,17,0,103,0,0.5869281045751634,0.7573529411764706,,,,M4-D
pooled_cases,,field_aware_without_description,bank_fee,5,672,84,0,482,0,0.5785383597883598,0.7172619047619048,,,,M4-D
seed_mean,,field_aware_without_description,bank_fee,5,672,84,0,482,0,0.578671802054155,0.7175551470588235,0.0,0.017380278985473806,0.05337573450403428,M4-D
per_seed,42,field_aware_without_description,card_payment,1,136,17,72,14,0.5294117647058824,0.7656862745098039,0.10294117647058823,,,,M4-D
per_seed,43,field_aware_without_description,card_payment,1,136,17,83,15,0.6102941176470589,0.8075980392156863,0.11029411764705882,,,,M4-D
per_seed,44,field_aware_without_description,card_payment,1,136,17,92,17,0.6764705882352942,0.8433823529411765,0.125,,,,M4-D
per_seed,45,field_aware_without_description,card_payment,1,136,17,105,22,0.7720588235294118,0.9019607843137255,0.16176470588235295,,,,M4-D
per_seed,46,field_aware_without_description,card_payment,1,128,16,75,16,0.5859375,0.7963541666666667,0.125,,,,M4-D
pooled_cases,,field_aware_without_description,card_payment,5,672,84,427,84,0.6354166666666666,0.823313492063492,0.125,,,,M4-D
seed_mean,,field_aware_without_description,card_payment,5,672,84,427,84,0.6348345588235295,0.8229963235294118,0.125,0.09310099207788647,0.052159202598558906,0.022663286775621242,M4-D
per_seed,42,field_aware_without_description,customer_receipt,1,136,17,133,0,0.9779411764705882,0.9877450980392157,0,,,,M4-D
per_seed,43,field_aware_without_description,customer_receipt,1,136,17,127,0,0.9338235294117647,0.9669117647058824,0,,,,M4-D
per_seed,44,field_aware_without_description,customer_receipt,1,128,16,124,0,0.96875,0.984375,0,,,,M4-D
per_seed,45,field_aware_without_description,customer_receipt,1,128,16,122,0,0.953125,0.9765625,0,,,,M4-D
per_seed,46,field_aware_without_description,customer_receipt,1,136,17,135,0,0.9926470588235294,0.9950980392156863,0,,,,M4-D
pooled_cases,,field_aware_without_description,customer_receipt,5,664,83,641,0,0.9653614457831325,0.9821787148594378,0,,,,M4-D
seed_mean,,field_aware_without_description,customer_receipt,5,664,83,641,0,0.9652573529411764,0.9821384803921569,0,0.022685640836727763,0.010808917316519888,0.0,M4-D
per_seed,42,field_aware_without_description,direct_debit,1,136,17,135,0,0.9926470588235294,0.9963235294117647,0,,,,M4-D
per_seed,43,field_aware_without_description,direct_debit,1,136,17,131,0,0.9632352941176471,0.9816176470588235,0,,,,M4-D
per_seed,44,field_aware_without_description,direct_debit,1,136,17,119,0,0.875,0.9362745098039216,0,,,,M4-D
per_seed,45,field_aware_without_description,direct_debit,1,128,16,128,0,1,1.0,0,,,,M4-D
per_seed,46,field_aware_without_description,direct_debit,1,128,16,120,0,0.9375,0.96875,0,,,,M4-D
pooled_cases,,field_aware_without_description,direct_debit,5,664,83,633,0,0.9533132530120482,0.9764056224899599,0,,,,M4-D
seed_mean,,field_aware_without_description,direct_debit,5,664,83,633,0,0.9536764705882353,0.9765931372549019,0,0.05051636481564021,0.025736752993196974,0.0,M4-D
per_seed,42,field_aware_without_description,non_bank_fee,1,672,84,596,14,0.8869047619047619,0.9434027777777778,0.020833333333333332,,,,M4-D
per_seed,43,field_aware_without_description,non_bank_fee,1,664,83,590,15,0.8885542168674698,0.9447791164658634,0.022590361445783132,,,,M4-D
per_seed,44,field_aware_without_description,non_bank_fee,1,664,83,597,17,0.8990963855421686,0.95035140562249,0.025602409638554216,,,,M4-D
per_seed,45,field_aware_without_description,non_bank_fee,1,664,83,621,23,0.9352409638554217,0.9706325301204819,0.03463855421686747,,,,M4-D
per_seed,46,field_aware_without_description,non_bank_fee,1,664,83,594,16,0.8945783132530121,0.9476907630522088,0.024096385542168676,,,,M4-D
pooled_cases,,field_aware_without_description,non_bank_fee,5,3328,416,2998,85,0.9008413461538461,0.9513521634615385,0.025540865384615384,,,,M4-D
seed_mean,,field_aware_without_description,non_bank_fee,5,3328,416,2998,85,0.9008749282845668,0.9513713186077644,0.025552208835341365,0.019816662524894394,0.011096573262403474,0.0053787531068188255,M4-D
per_seed,42,field_aware_without_description,supplier_transfer,1,136,17,130,0,0.9558823529411765,0.9779411764705882,0,,,,M4-D
per_seed,43,field_aware_without_description,supplier_transfer,1,128,16,127,0,0.9921875,0.99609375,0,,,,M4-D
per_seed,44,field_aware_without_description,supplier_transfer,1,128,16,127,0,0.9921875,0.99609375,0,,,,M4-D
per_seed,45,field_aware_without_description,supplier_transfer,1,136,17,134,1,0.9852941176470589,0.9926470588235294,0.007352941176470588,,,,M4-D
per_seed,46,field_aware_without_description,supplier_transfer,1,136,17,130,0,0.9558823529411765,0.9779411764705882,0,,,,M4-D
pooled_cases,,field_aware_without_description,supplier_transfer,5,664,83,648,1,0.9759036144578314,0.9879518072289156,0.0015060240963855422,,,,M4-D
seed_mean,,field_aware_without_description,supplier_transfer,5,664,83,648,1,0.9762867647058824,0.9881433823529412,0.0014705882352941176,0.018837988293083807,0.009418994146541935,0.0032883352610291023,M4-D
per_seed,42,field_aware_without_description,tax_payment,1,128,16,126,0,0.984375,0.9921875,0,,,,M4-D
per_seed,43,field_aware_without_description,tax_payment,1,128,16,122,0,0.953125,0.9765625,0,,,,M4-D
per_seed,44,field_aware_without_description,tax_payment,1,136,17,135,0,0.9926470588235294,0.9963235294117647,0,,,,M4-D
per_seed,45,field_aware_without_description,tax_payment,1,136,17,132,0,0.9705882352941176,0.9840686274509803,0,,,,M4-D
per_seed,46,field_aware_without_description,tax_payment,1,136,17,134,0,0.9852941176470589,0.9926470588235294,0,,,,M4-D
pooled_cases,,field_aware_without_description,tax_payment,5,664,83,649,0,0.9774096385542169,0.9884538152610441,0,,,,M4-D
seed_mean,,field_aware_without_description,tax_payment,5,664,83,649,0,0.9772058823529411,0.9883578431372549,0,0.015643911565666527,0.007969367786133327,0.0,M4-D
